original_title,genres,actor1,actor2,director,popularity,release_date,vote_average,vote_count,production_companies,budget_adj,revenue_adj,release_year,runtime,id,imdb_id
Jurassic World,Action,Chris Pratt,Bryce Dallas Howard,Colin Trevorrow,32.985763,6/9/15,6.5,5562,Universal Studios,137999939.280026,1392445892.5238,2015,124,135397,tt0369610
Mad Max: Fury Road,Action,Tom Hardy,Charlize Theron,George Miller,28.419936,5/13/15,7.1,6185,Village Roadshow Pictures,137999939.280026,348161292.489031,2015,120,76341,tt1392190
Insurgent,Adventure,Shailene Woodley,Theo James,Robert Schwentke,13.112507,3/18/15,6.3,2480,Summit Entertainment,101199955.47201899,271619025.407628,2015,119,262500,tt2908446
Star Wars: The Force Awakens,Action,Harrison Ford,Mark Hamill,J.J. Abrams,11.173103999999999,12/15/15,7.5,5292,Lucasfilm,183999919.040035,1902723129.80182,2015,136,140607,tt2488496
Furious 7,Action,Vin Diesel,Paul Walker,James Wan,9.335014,4/1/15,7.3,2947,Universal Pictures,174799923.08803302,1385748801.47052,2015,137,168259,tt2820852
Terminator Genisys,Science Fiction,Arnold Schwarzenegger,Jason Clarke,Alan Taylor,8.654359,6/23/15,5.8,2598,Paramount Pictures,142599937.256027,405355075.683766,2015,125,87101,tt1340138
The Martian,Drama,Matt Damon,Jessica Chastain,Ridley Scott,7.6674,9/30/15,7.6,4572,Twentieth Century Fox Film Corporation,99359956.2816192,547749654.3101519,2015,141,286217,tt3659388
Minions,Family,Sandra Bullock,Jon Hamm,Kyle Balda|Pierre Coffin,7.40416499999999,6/17/15,6.5,2893,Universal Pictures,68079970.0448131,1064192016.7955099,2015,91,211672,tt2293640
Inside Out,Comedy,Amy Poehler,Phyllis Smith,Pete Docter,6.326804,6/9/15,8.0,3935,Walt Disney Pictures,160999929.16003102,785411574.698907,2015,94,150540,tt2096673
Spectre,Action,Daniel Craig,Christoph Waltz,Sam Mendes,6.200282,10/26/15,6.2,3254,Columbia Pictures,225399900.824043,810220283.783075,2015,148,206647,tt2379713
Jupiter Ascending,Science Fiction,Mila Kunis,Channing Tatum,Lana Wachowski|Lilly Wachowski,6.189369,2/4/15,5.2,1937,Village Roadshow Pictures,161919931.51523,169268630.681802,2015,124,76757,tt1617661
Ex Machina,Drama,Domhnall Gleeson,Alicia Vikander,Alex Garland,6.118847,1/21/15,7.6,2854,DNA Films,13799993.9280026,33919845.9552677,2015,108,264660,tt0470752
Pixels,Action,Adam Sandler,Michelle Monaghan,Chris Columbus,5.984995,7/16/15,5.8,1575,Columbia Pictures,80959964.37761559,224146025.095748,2015,105,257344,tt2120120
Avengers: Age of Ultron,Action,Robert Downey Jr.,Chris Hemsworth,Joss Whedon,5.944927,4/22/15,7.4,4304,Marvel Studios,257599886.656049,1292632336.88177,2015,141,99861,tt2395427
The Hateful Eight,Crime,Samuel L. Jackson,Kurt Russell,Quentin Tarantino,5.8984,12/25/15,7.4,2389,Double Feature Films,40479982.18880779,143299244.588332,2015,167,273248,tt3460252
Taken 3,Crime,Liam Neeson,Forest Whitaker,Olivier Megaton,5.749758,1/1/15,6.1,1578,Twentieth Century Fox Film Corporation,44159980.5696085,299709578.207785,2015,109,260346,tt2446042
Ant-Man,Science Fiction,Paul Rudd,Michael Douglas,Peyton Reed,5.5731839999999995,7/14/15,7.0,3779,Marvel Studios,119599947.376023,477113780.029936,2015,115,102899,tt0478970
The Hunger Games: Mockingjay - Part 2,War,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,5.476958,11/18/15,6.5,2380,Studio Babelsberg,147199935.232028,598481289.508232,2015,136,131634,tt1951266
Tomorrowland,Action,Britt Robertson,George Clooney,Brad Bird,5.4621379999999995,5/19/15,6.2,1899,Walt Disney Pictures,174799923.08803302,192312729.942398,2015,130,158852,tt1964418
